日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,5MA,10MA,20MA,60MA
111/04/15,"22,334,668","2,955,902,166",132.85,133.05,132.0,132.25,-2.30,"37,007",133.36999999999995,134.65,135.95999999999995,140.02750000000012
111/04/18,"19,495,870","2,565,078,259",132.0,132.25,131.15,131.55,-0.70,"33,455",133.1899999999999,133.995,135.71749999999994,139.76083333333344
111/04/19,"9,433,361","1,248,058,966",132.25,132.95,131.85,132.0,+0.45,"11,022",133.07999999999993,133.5,135.51249999999996,139.4891666666668
111/04/20,"7,104,382","939,528,194",132.2,132.7,131.65,132.65,+0.65,"10,235",132.5999999999999,133.14000000000001,135.29499999999996,139.20750000000012
111/04/21,"4,226,570","562,769,738",133.25,133.6,132.65,132.75,+0.10,"6,277",132.23999999999992,133.03500000000003,135.09249999999994,138.91500000000013
111/04/22,"12,398,307","1,626,054,746",131.4,131.75,130.85,131.6,-1.15,"24,219",132.10999999999993,132.74,134.76749999999996,138.6033333333335
111/04/25,"35,058,202","4,525,920,924",130.0,130.05,128.65,129.25,-2.35,"58,198",131.64999999999992,132.42000000000002,134.32999999999996,138.22416666666683
111/04/26,"10,361,395","1,339,825,860",129.75,129.8,128.85,129.25, 0.00,"20,563",131.0999999999999,132.09,133.88249999999996,137.8733333333335
111/04/27,"31,244,250","3,953,298,339",127.0,127.0,126.05,126.55,-2.70,"50,065",129.8799999999999,131.24,133.37499999999997,137.50750000000016
111/04/28,"12,311,754","1,559,363,486",127.35,127.4,125.95,127.1,+0.55,"16,772",128.74999999999991,130.495,132.8875,137.1408333333335
111/04/29,"12,271,215","1,582,008,363",128.9,129.5,128.25,128.75,+1.65,"12,017",128.1799999999999,130.145,132.39749999999998,136.90916666666683
111/05/03,"7,021,550","898,507,584",128.55,128.7,127.45,127.8,-0.95,"16,878",127.8899999999999,129.77,131.8825,136.63916666666682
111/05/04,"10,324,829","1,319,173,779",128.3,128.45,127.5,127.8, 0.00,"14,820",127.59999999999988,129.35,131.425,136.40833333333347
111/05/05,"6,508,490","841,880,402",129.5,129.8,128.95,129.25,+1.45,"9,252",128.1399999999999,129.01,131.075,136.2033333333335
