證券代號	證券名稱	成交股數	成交金額	開盤價	最高價	最低價	收盤價	漲跌價差	成交筆數
1707	葡萄王	584000	91277000	153.5	158	153	155.5	-1.5	453
1708	東鹼	2254000	95722000	42.7	42.75	42.3	42.4	-0.75	1561
1709	和益	828000	18747950	22.7	22.75	22.55	22.55	-0.4	314
1710	東聯	1295000	24404350	18.7	19	18.65	19	0.15	552
1711	永光	2037000	39416400	19.25	19.6	19.2	19.25	-0.35	999
1712	興農	996000	36982000	37.15	37.25	37	37.1	-0.25	627
1713	國化	61000	1523100	25.05	25.05	24.85	24.85	-0.35	29
1714	和桐	1377000	11874870	8.69	8.69	8.58	8.58	-0.17	592
1717	長興	3585000	112120200	31.5	31.6	31.05	31.05	-0.65	2247
1718	中纖	4435000	38471090	8.8	8.8	8.59	8.6	-0.25	1239
1720	生達	19080000	1157100700	59.4	62.9	58.3	58.5	-1.3	10789
1721	三晃	952000	14824300	15.55	15.75	15.5	15.6	-0.35	493
1722	台肥	2593000	139002300	54	54.1	53.4	53.5	-0.8	1280
1723	中碳	476000	49991500	106	106	104.5	104.5	-1.5	341
1725	元禎	44000	902300	20.7	20.85	20.35	20.35	-0.35	30
1726	永記	24000	1694400	70.5	71	70.3	70.3	-0.7	18
1727	中華化	277000	7554400	27.3	27.5	27.1	27.25	-0.3	180
1730	花仙子	38000	2100600	55	56.3	55	55.3	0.2	37
1731	美吾華	484000	9346400	19.15	19.5	19.05	19.25	-0.15	224
1732	毛寶	243000	7420000	30.6	30.8	30.2	30.45	-0.65	171
1733	五鼎	335000	8589750	25.4	25.9	25.25	25.65	0	194
1734	杏輝	11107000	386279250	34.05	35.3	34.05	34.45	0.4	5415
1735	日勝化	3000	44550	14.8	14.95	14.8	14.95	-0.05	3
1736	喬山	2700000	215612500	78.5	81.3	78	79	0	1854
1737	臺鹽	123000	3923400	31.9	32	31.85	31.9	-0.1	84
1752	南光	35091000	1864689900	49.5	54.6	49.3	51.1	1.4	15190
1760	寶齡富錦	19512000	3512947500	179.5	184	176	179.5	-1.5	12245
1762	中化生	6532000	421401600	61	66.4	60.6	64	2.9	4098
1773	勝一	195000	23058500	117.5	120	117	117	-2	169
1776	展宇	15000	248850	16.7	16.7	16.55	16.6	-0.1	10
1783	和康生	2713000	129160000	46	48.9	45.5	45.5	-0.8	1564
1786	科妍	171000	9228300	53.6	55	53	53.3	-0.3	141
1789	神隆	2797000	71971350	25.65	26.2	25.2	25.45	-0.35	1450
1795	美時	15738000	3792657000	236	247	234.5	234.5	-6.5	10343
1802	台玻	40100000	993223300	24.55	25.4	24.35	24.35	-0.7	10651
1805	寶徠	37000	394850	10.7	10.7	10.6	10.65	-0.05	14
1806	冠軍	407000	3806740	9.48	9.48	9.27	9.28	-0.24	238
1808	潤隆	726000	47183700	65.1	66.7	64.1	64.3	-0.8	305
1809	中釉	329000	4362500	13.15	13.4	13.15	13.2	-0.2	145
1810	和成	95055000	2121813750	22.55	23.35	21.05	21.3	-0.8	35060
1817	凱撒衛	344000	13242000	37.75	38.85	37.75	38.65	0.4	217
1903	士紙	83000	4137100	49.2	50.4	49.2	49.95	-0.45	56
1904	正隆	1546000	42366600	27.35	27.55	27.25	27.3	-0.2	566
1905	華紙	575000	9624500	16.65	16.85	16.65	16.65	-0.2	376
1906	寶隆	108000	1818700	16.7	16.9	16.7	16.9	0.1	73
1907	永豐餘	2579000	64001050	24.8	24.9	24.65	24.9	0	817
1909	榮成	8216000	132433550	16.05	16.45	15.8	15.8	-0.25	2805
2002	中鋼	108145000	3150857250	29.05	29.45	28.75	29.4	0.15	24220
2002A	中鋼特	5000	230250	46.1	46.5	45.85	46.5	0.2	4
2006	東和鋼鐵	4758000	250574400	52	53.3	51.3	53.3	1.3	2202
2007	燁興	3778000	43245350	11.25	11.7	11.15	11.45	0	1445
2008	高興昌	35000	606000	17.2	17.4	17.2	17.3	0.1	29
2009	第一銅	2993000	93300500	31.3	31.5	30.95	31.05	-1	1555
2010	春源	898000	14359850	16.1	16.15	15.85	15.85	-0.3	519
2012	春雨	108000	2495700	23.05	23.25	23	23.05	-0.45	66
2013	中鋼構	169000	9858800	58.3	58.6	57.9	58.1	-0.1	113
2014	中鴻	68517000	1888384500	27.2	28.1	27.05	27.5	-0.1	24891
2015	豐興	605000	39373100	65.8	66.1	64.8	64.8	-1.6	345
2017	官田鋼	709000	9882400	13.95	14.15	13.75	13.8	-0.35	411
2020	美亞	222000	5314750	23.55	24.55	23.55	23.75	-0.2	172
2022	聚亨	1313000	11213160	8.58	8.68	8.44	8.5	-0.2	554
2023	燁輝	8126000	132244450	16.1	16.5	15.95	16.2	-0.15	3149
2024	志聯	182000	3398150	18.5	18.95	18.4	18.7	0.1	83
2025	千興	895000	4490450	5.04	5.16	4.93	5.1	0.06	114
2027	大成鋼	34007000	1494541000	44.2	44.8	43.55	43.55	-1.2	13301
2028	威致	1812000	49664400	26.9	28.05	26.8	27.35	-0.05	1145
2029	盛餘	406000	9665200	23.9	24.15	23.65	23.7	-0.3	263
2030	彰源	1873000	43308000	23	23.4	22.9	23.05	-0.35	889
2031	新光鋼	4722000	198990950	41.95	42.65	41.6	42	-0.1	2970
2032	新鋼	2019000	40205900	19.7	20.35	19.45	19.85	-0.4	986
2033	佳大	2089000	32945150	15.7	16.2	15.25	15.65	-0.1	1252
2034	允強	1732000	49156950	28.5	28.7	28.15	28.2	-0.5	807
2038	海光	4664000	101282450	21.35	22.3	21.15	21.65	0.05	2548
2049	上銀	1826000	339375000	183	190.5	182	190.5	3.5	1134
2059	川湖	196000	77973000	398	402	395.5	398	-1.5	164
2062	橋椿	239000	5385400	22.4	22.75	22.4	22.5	-0.25	144
2069	運錩	726000	14966500	20.5	20.85	20.4	20.6	0.05	329
2101	南港	387000	13253150	34.3	34.45	34.15	34.15	-0.5	183
2102	泰豐	439000	9195900	20.95	21.1	20.75	20.95	-0.2	220
2103	台橡	878000	24507800	27.7	28.15	27.65	27.95	-0.1	465
2104	國際中橡	4085000	79788150	19.7	19.7	19.4	19.45	-0.5	1748
2105	正新	4023000	137483500	34.3	34.4	34	34.25	-0.25	1257
2106	建大	701000	21236500	30.4	30.45	30.2	30.25	-0.25	325
2107	厚生	119000	2594950	21.85	21.9	21.75	21.75	-0.2	87
2108	南帝	677000	25450600	37.8	37.95	37.35	37.5	-0.75	446
2109	華豐	125000	1810250	14.5	14.6	14.4	14.45	-0.15	71
2114	鑫永銓	13000	1282800	99	99	98.5	98.5	-0.5	13
2115	六暉-KY	28000	821300	29.4	29.4	29.3	29.35	-0.05	21
